"","variable","ols_coefficient","lasso_coefficient"
"95","f_room_typePrivate room:f_neighbourhood_cleansedButtes-Montmartre",-7.33680301894364,-0.283163190043458
"96","f_room_typePrivate room:f_neighbourhood_cleansedÉlysée",-3.35574355776549,NA
"97","f_room_typePrivate room:f_neighbourhood_cleansedEntrepôt",-10.6213403234632,-0.51392356805012
"98","f_room_typePrivate room:f_neighbourhood_cleansedGobelins",-4.46233849515654,NA
"99","f_room_typePrivate room:f_neighbourhood_cleansedHôtel-de-Ville",-20.4756271401698,-0.690397083849049
"100","f_room_typePrivate room:f_neighbourhood_cleansedLouvre",-4.76647844842288,-0.00758892857622213
"101","f_room_typePrivate room:f_neighbourhood_cleansedLuxembourg",-22.8699455546922,-0.753343638470328
"102","f_room_typePrivate room:f_neighbourhood_cleansedMénilmontant",-1.3077068280911,0.192798751804537
"103","f_room_typePrivate room:f_neighbourhood_cleansedObservatoire",-4.55348639498629,-0.00470595357374484
"104","f_room_typePrivate room:f_neighbourhood_cleansedOpéra",1.86869287398322,0.342092161906936
"105","f_room_typePrivate room:f_neighbourhood_cleansedPalais-Bourbon",-7.64971272037786,-0.142567815643887
"106","f_room_typePrivate room:f_neighbourhood_cleansedPanthéon",-2.24960592952071,0.0379650077031198
"107","f_room_typePrivate room:f_neighbourhood_cleansedPassy",-12.1095286418564,-0.434630478049448
"108","f_room_typePrivate room:f_neighbourhood_cleansedPopincourt",-11.126688227236,-0.584450402765001
"109","f_room_typePrivate room:f_neighbourhood_cleansedReuilly",-1.32672635611349,0.179596957537365
"110","f_room_typePrivate room:f_neighbourhood_cleansedTemple",-11.5893445841894,-0.355929561172359
"111","f_room_typePrivate room:f_neighbourhood_cleansedVaugirard",-3.48801424941547,0.0334099456213769
"112","f_room_typePrivate room:n_accommodates",1.16391385775182,0.653370573833689
"113","f_room_typeShared room",-51.5431257993674,-2.66386420040058
"114","f_room_typeShared room:d_balcony",-143.574409517471,-1.38715012546511
"115","f_room_typeShared room:d_cleaning_before_checkout",12.532323780839,0.139268532407096
"116","f_room_typeShared room:d_elevator",1.68850915177674,0.0720620783997237
"117","f_room_typeShared room:d_family_friendly",15.7334129218078,0.0486227915033683
"118","f_room_typeShared room:d_have_breakfast",24.1478085295066,0.478968847370938
"119","f_room_typeShared room:d_have_garden",100.907348994805,0.734857704914911
"120","f_room_typeShared room:d_have_kitchen",21.9988464177215,0.63389787775944
"121","f_room_typeShared room:d_have_washer",-36.7121675367612,-1.49457692244101
"122","f_room_typeShared room:d_lockbox",117.367066452663,0.871677502761678
"123","f_room_typeShared room:d_wifi",-9.29259208796931,-0.334840024512858
"124","f_room_typeShared room:f_neighbourhood_cleansedBourse",-84.9909497178729,-0.671713893791683
"125","f_room_typeShared room:f_neighbourhood_cleansedButtes-Chaumont",-97.1678937214223,-1.24548566808784
"126","f_room_typeShared room:f_neighbourhood_cleansedButtes-Montmartre",-78.3019565067692,-0.657932429737892
"127","f_room_typeShared room:f_neighbourhood_cleansedÉlysée",-51.2362452767809,-0.22396872722039
"128","f_room_typeShared room:f_neighbourhood_cleansedEntrepôt",-36.1556731041308,-0.278269510713743
"129","f_room_typeShared room:f_neighbourhood_cleansedGobelins",-30.3481100701727,-0.129400747477244
"130","f_room_typeShared room:f_neighbourhood_cleansedHôtel-de-Ville",-9.40355134432287,0.014363151636513
"131","f_room_typeShared room:f_neighbourhood_cleansedLouvre",-35.1220986541621,-0.0658995450481621
"132","f_room_typeShared room:f_neighbourhood_cleansedLuxembourg",-95.569597771777,-0.381863597164788
"133","f_room_typeShared room:f_neighbourhood_cleansedMénilmontant",-22.617414633059,-0.114493392051049
"134","f_room_typeShared room:f_neighbourhood_cleansedObservatoire",-29.9428532593562,-0.166443831336275
"135","f_room_typeShared room:f_neighbourhood_cleansedOpéra",-30.5236063505127,-0.162167132704634
"136","f_room_typeShared room:f_neighbourhood_cleansedPalais-Bourbon",NA,NA
"137","f_room_typeShared room:f_neighbourhood_cleansedPanthéon",-70.7859870532314,-0.483261719133911
"138","f_room_typeShared room:f_neighbourhood_cleansedPassy",22.8189367441843,0.446704504228545
"139","f_room_typeShared room:f_neighbourhood_cleansedPopincourt",-35.7393522073706,-0.314440438450258
"140","f_room_typeShared room:f_neighbourhood_cleansedReuilly",-38.1671964342589,-0.156535792474115
"141","f_room_typeShared room:f_neighbourhood_cleansedTemple",-54.3489625556197,-0.329088772102118
"142","f_room_typeShared room:f_neighbourhood_cleansedVaugirard",-23.8957756215602,-0.130800828268135
"143","f_room_typeShared room:n_accommodates",28.692050922792,3.08544362126558
"144","flag_days_since",5.68297693194886,2.72505460979159
"145","flag_review_scores_rating",2.06274314057515,0.98329925716278
"146","flag_reviews_per_month",NA,0.000343945310527619
"147","n_accommodates",10.2710546716753,6.62889845578736
"148","n_accommodates:f_bathroom",6.08452289930495,11.7622484587868
"149","n_accommodates:f_bedroom",7.39472183857464,20.3324299733554
"150","n_accommodates:f_neighbourhood_cleansedBourse",6.92689605468383,5.18547111988327
"151","n_accommodates:f_neighbourhood_cleansedButtes-Chaumont",-12.0024669393479,-7.186855922262
"152","n_accommodates:f_neighbourhood_cleansedButtes-Montmartre",-9.1765422122666,-7.05746920996585
"153","n_accommodates:f_neighbourhood_cleansedÉlysée",13.9626585782449,8.65917887074168
"154","n_accommodates:f_neighbourhood_cleansedEntrepôt",-6.4388899105615,-3.57185896293315
"155","n_accommodates:f_neighbourhood_cleansedGobelins",-9.11697113740169,-4.02919562479717
"156","n_accommodates:f_neighbourhood_cleansedHôtel-de-Ville",5.20320715934872,4.17289905171259
"157","n_accommodates:f_neighbourhood_cleansedLouvre",7.47397340026171,4.37756382884952
"158","n_accommodates:f_neighbourhood_cleansedLuxembourg",17.21562712001,10.1045655536049
"159","n_accommodates:f_neighbourhood_cleansedMénilmontant",-10.0264293870399,-5.83201313488284
"160","n_accommodates:f_neighbourhood_cleansedObservatoire",-6.4413111590261,-2.5844646900254
"161","n_accommodates:f_neighbourhood_cleansedOpéra",-2.10904080816016,NA
"162","n_accommodates:f_neighbourhood_cleansedPalais-Bourbon",14.6765063078851,8.67324326971079
"163","n_accommodates:f_neighbourhood_cleansedPanthéon",4.04771312995256,3.26753150500712
"164","n_accommodates:f_neighbourhood_cleansedPassy",5.39827292097074,5.308753656273
"165","n_accommodates:f_neighbourhood_cleansedPopincourt",-5.93110351039771,-3.56901423550617
"166","n_accommodates:f_neighbourhood_cleansedReuilly",-7.82349043918,-3.63195560148264
"167","n_accommodates:f_neighbourhood_cleansedTemple",3.09181606703869,3.48039802645858
"168","n_accommodates:f_neighbourhood_cleansedVaugirard",-3.94400285674442,-1.6442032818723
"169","n_accommodates:n_beds",2.00309854776193,4.58867068612475
"170","n_accommodates2",-2.47016053257479,-12.621413873271
"171","n_availability_365",0.0681417143720553,8.89843465047849
"172","n_beds",-2.20212963242227,-0.433810128319308
"173","n_beds:f_bedroom",-3.28241982851389,-3.49990399559791
"174","n_days_since",0.0240944892473334,8.43556762051905
"175","n_days_since2",-2.18318255774312e-05,-25.1203420495332
"176","n_days_since3",4.50232700513963e-09,14.6101416773047
"177","n_minimum_nights",-0.0747403516435299,-1.5127872189831
"178","n_number_of_reviews",0.0658496562148958,2.71969486442933
"179","n_review_scores_rating",0.374144391680781,2.87409341430859
"180","n_reviews_per_month",-9.02572453595074,-7.08116449252319
